force_x_index,force_x_middle,force_x_ring,force_x_thumb,force_y_index,force_y_middle,force_y_ring,force_y_thumb,force_z_index,force_z_middle,force_z_ring,force_z_thumb,index_orientation_w,index_orientation_x,index_orientation_y,index_orientation_z,index_position_x,index_position_y,index_position_z,label,middle_orientation_w,middle_orientation_x,middle_orientation_y,middle_orientation_z,middle_position_x,middle_position_y,middle_position_z,ring_orientation_w,ring_orientation_x,ring_orientation_y,ring_orientation_z,ring_position_x,ring_position_y,ring_position_z,stiffness_index,stiffness_middle,stiffness_ring,stiffness_thumb,thumb_orientation_w,thumb_orientation_x,thumb_orientation_y,thumb_orientation_z,thumb_position_x,thumb_position_y,thumb_position_z,torque_norm_index,torque_norm_middle,torque_norm_ring,torque_norm_thumb
-1.0,495.0,-8.0,-235.0,-5.0,208.0,-2.0,654.0,18.0,161.0,7.0,26.0,0.12055853128776295,0.9888961501399496,0.04457589925859562,0.07458574915767457,0.16152689803980289,0.31818149394106865,1.0427662723447937,no_contact,0.11485870185436883,0.9924977157209081,-0.0026802557031788965,0.041816015191232764,0.15689500194151848,0.36299834671381564,1.0367251206742276,0.11009228976335755,0.9871290754654711,-0.038510477060066745,0.10942037864105117,0.16716526050330358,0.4076988253263283,1.0334102874998206,0.0,12385.33738205512,0.0,0.0,0.25730700653846034,0.06795943797406084,-0.9549958861391583,0.13098655134688694,0.17392480914672823,0.34194496222877524,1.0503319123139372,18.7,560.5,10.8,695.4
2.0,135.0,-5.0,-74.0,12.0,69.0,-3.0,387.0,19.0,215.0,12.0,145.0,0.11796630408430506,0.9892661955391189,0.044571694854106864,0.07382214763930897,0.1611835037078556,0.31880458568756903,1.042536930609852,no_contact,0.1151715451702093,0.9929810522981499,-0.004484138815625399,0.026533704208953346,0.15110033450629706,0.36279786392159125,1.0358665681873744,0.10928851219525576,0.9875650128133364,-0.038890756511896746,0.10610784903613063,0.16679171896598718,0.4078808815951985,1.0332227007911483,0.0,3007.355905242902,0.0,599.5324784272414,0.29351836625066363,0.06198676775786888,-0.9446050659633571,0.13313856936603757,0.16976506526894794,0.3419720791933617,1.053611688015358,22.6,263.1,13.3,419.8
10.0,388.0,-7.0,-347.0,-12.0,345.0,1.0,182.0,19.0,69.0,9.0,-23.0,0.118602093646925,0.9889869786668288,0.044825930946742615,0.07634746442929005,0.16176375607299293,0.3186816341138413,1.0426710057297326,no_contact,0.10992709554218752,0.9922560519672721,-0.0006188436862843982,0.05782368055108217,0.16022587523056803,0.36433881435594806,1.0370596359011954,0.10775006211895538,0.9873489479352331,-0.038523044525721944,0.10976317308195518,0.1672984692739897,0.4082804291579166,1.033280996044044,0.0,5381.822009684076,0.0,0.0,0.25086933634686415,0.08637722673001877,-0.9544164824991291,0.13672135428419777,0.1780083342277158,0.3399735917392504,1.048686021858484,24.6,523.8,11.4,392.5
1.0,494.0,-8.0,-326.0,-15.0,298.0,-2.0,657.0,12.0,62.0,11.0,-5.0,0.11962455924640156,0.9893465031348676,0.044100105007531504,0.07027547437220472,0.16084806241690563,0.31837699025949295,1.0425702711217353,no_contact,0.11053330016314394,0.992584850533528,-0.0014259338977151148,0.050553642390017584,0.1593376045499094,0.3641528828797789,1.036954646630834,0.11068110993152908,0.9867745330933995,-0.03820201281567481,0.11209959393083815,0.1674935892505682,0.40756008884423245,1.0335409821265913,0.0,542.8373667885585,0.0,0.0,0.2492759927982238,0.07119856158345556,-0.9568589786397426,0.1311988538037397,0.17531255914251662,0.3417132515945317,1.0494501259251576,19.2,580.2,13.7,733.5
12.0,505.0,-4.0,-322.0,-28.0,301.0,2.0,918.0,25.0,-25.0,9.0,-312.0,0.11977935045369187,0.9889790411776243,0.044603920985494094,0.07472518684485757,0.16144198335993812,0.3183508712158388,1.0426897522305,no_contact,0.11733106706668411,0.9875628605633723,0.004579475180402026,0.10455642277715516,0.16701457003764517,0.3626848571732644,1.0389176269562046,0.10960856034729283,0.9870140835552657,-0.03835912516350143,0.11098531379801557,0.16743622471346156,0.4078067388182224,1.0334196698612264,0.0,0.0,0.0,0.0,0.1986129681759803,0.08800484181890422,-0.9673939577896119,0.13021891998057286,0.18561471578648908,0.34136698228885487,1.043718790455928,39.4,588.4,10.0,1021.6
-1.0,153.0,-10.0,-93.0,17.0,98.0,-1.0,577.0,15.0,206.0,11.0,55.0,0.12020240631248846,0.9890231241159815,0.0444603790246525,0.0735385353235688,0.16131424174287182,0.31826538456770637,1.042704035286112,no_contact,0.11414639222650802,0.993257764287329,-0.005203006921296521,0.019558720397433726,0.1523063989267996,0.3630892622921452,1.0360824391710914,0.11013799305815819,0.9868150724517553,-0.03819540207611771,0.11227976900315356,0.16766077477280691,0.40769711415614696,1.033543120764521,0.0,1724.510587689756,0.0,205.0061434198482,0.28354902921750275,0.06285661472554491,-0.9477113324226963,0.132258173330245,0.1695855469407958,0.34199268783493875,1.0534723843151719,22.7,274.7,14.9,587.0
3.0,528.0,-6.0,-335.0,-14.0,278.0,-2.0,798.0,20.0,64.0,12.0,-23.0,0.11740161397136764,0.9893707722803788,0.04449698521625975,0.07336453026434897,0.16139661690843546,0.3189638125614147,1.0425065716466544,no_contact,0.11104607963584845,0.9923291599248694,-0.0010850928354373401,0.05431785280963572,0.16003141127898027,0.3640448032867417,1.0370522630820933,0.10973083684382506,0.9867355635965555,-0.03812234466616099,0.11339646298053627,0.16805629287371102,0.4077848188820043,1.0335603021447013,0.0,10528.828653489296,0.0,0.0,0.25055197601931556,0.07082509005873916,-0.9565473180023694,0.1312430659252566,0.17746888293263344,0.3419290869982848,1.0483119254693825,24.6,600.1,13.6,865.8
2.0,528.0,-6.0,-279.0,-9.0,260.0,-3.0,862.0,13.0,86.0,12.0,9.0,0.11755274383050612,0.9892474010639126,0.04472213575541645,0.07463821058739248,0.16146516955133866,0.31891890232603937,1.0426085855947584,no_contact,0.11106846557588348,0.9928734594625201,-0.0022574615499169615,0.04313923176063486,0.1582140101090147,0.3639911072583653,1.036855141634034,0.11026878567046128,0.9868551215879737,-0.03821319554297317,0.11179228769795482,0.16759684797786475,0.40764373126562536,1.033557439682551,0.0,872.8533741867242,0.0,0.0,0.25320540151368737,0.06893183261610433,-0.956038940056865,0.13086241703187418,0.17443839776555028,0.3418971536601273,1.0499535624849596,15.9,594.8,13.7,906.1
9.0,400.0,-4.0,-388.0,-18.0,350.0,-4.0,758.0,14.0,73.0,8.0,-53.0,0.11977493186630378,0.988973027730069,0.04462706778531078,0.07479800090729463,0.16147683225418777,0.31837453332195337,1.0427349115618054,no_contact,0.11016742319471237,0.9920364540374318,-0.0002472493353093408,0.061047126019509096,0.1609442093016458,0.36428867780024965,1.03720827218524,0.10987631926315988,0.9869165748643938,-0.03827208096206264,0.1116159331903194,0.16758962470410557,0.40775434220150847,1.0335229039202,0.0,906.16824992752,0.0,0.0,0.23283313237778208,0.0745750303097604,-0.9608589369949082,0.13029735422664593,0.1783376532127597,0.3417790403049275,1.0475347684492222,24.5,536.5,9.8,853.2
7.0,475.0,-8.0,-355.0,-16.0,297.0,-3.0,834.0,16.0,66.0,7.0,-35.0,0.11848823607697145,0.9893135710272515,0.04434834015858574,0.07247358703592063,0.16125717336483317,0.31868174720263037,1.0425387592387079,no_contact,0.1118185786324887,0.992135323871122,-0.000910732492912264,0.05624300104083921,0.16029671619120492,0.36385514872613745,1.0371320885437296,0.10979128968517254,0.9866551549134729,-0.03805097555747894,0.11405963900987015,0.16790396075252376,0.407787791052555,1.0335436812514658,0.0,1400.571321263916,0.0,0.0,0.24169083885188222,0.06909121669045007,-0.959180144092795,0.12955845541465702,0.17711188976027903,0.34223617947441226,1.0481910297570156,23.7,564.1,11.0,907.1
